Nome,Idade,Curso,Ano de Ingresso,Semestre Atual,Média de Notas,Total de Créditos Concluídos,Bolsa de Estudo,Tipo de Alojamento,Participação em Atividades Extracurriculares,Participação em Projetos de Pesquisa,Estágio Atual,Empresa do Estágio,Tempo de Viagem até a Universidade,Satisfação com o Curso
Helena Martins,25,Engenharia,2015,5,8.25,136,não,casa,não,não,não,,57,4
Julia Costa,25,Direito,2016,2,1.06,45,não,república,não,sim,não,,43,5
Carla Ferreira,24,Direito,2018,2,4.01,10,não,apartamento,sim,não,não,,50,4
Fernanda Pereira,26,Ciência da Computação,2019,7,9.14,23,não,república,não,não,sim,Empresa D,17,1
Alice Almeida,20,Ciência da Computação,2019,9,2.23,198,não,república,não,não,não,,16,1
Erika Ribeiro,28,Engenharia,2020,10,7.56,84,não,casa,não,não,não,,48,2
Gustavo Ferreira,20,Arquitetura,2017,10,6.82,50,não,república,sim,não,não,,39,2
Helena Martins,24,Ciência da Computação,2018,3,1.01,41,não,república,não,não,não,,52,1
Alice Ferreira,25,Direito,2019,1,3.76,189,não,república,sim,sim,não,,26,3
Helena Silva,28,Psicologia,2020,7,8.65,32,sim,moradia estudantil,sim,sim,não,,38,3
Alice Gomes,28,Administração,2019,9,3.38,90,não,casa,sim,não,não,,53,5
Alice Silva,18,Ciência da Computação,2018,9,1.65,137,não,moradia estudantil,sim,sim,não,,60,4
Julia Pereira,24,Ciência da Computação,2018,1,8.55,115,sim,casa,não,não,não,,53,5
Gustavo Pereira,23,Arquitetura,2020,4,2.91,28,sim,apartamento,não,não,não,,27,2
Erika Pereira,25,Direito,2020,4,9.35,116,não,moradia estudantil,não,não,sim,Empresa E,34,4
Carla Silva,19,Engenharia,2020,10,3.24,36,não,república,não,não,não,,35,5
Gustavo Silva,25,Direito,2017,4,7.75,52,não,apartamento,não,não,não,,49,3
Erika Silva,25,Administração,2018,4,7.99,200,não,apartamento,não,sim,sim,Empresa E,55,5
Bruno Ferreira,30,Medicina,2019,1,1.45,28,não,moradia estudantil,não,sim,não,,20,3
Igor Gomes,28,Direito,2015,7,2.1,108,sim,moradia estudantil,sim,não,não,,22,3
Alice Silva,25,Direito,2019,2,1.11,108,não,casa,não,sim,não,,34,1
Helena Costa,22,Psicologia,2017,2,7.31,19,não,casa,não,não,não,,53,1
Julia Ribeiro,28,Administração,2018,4,4.31,114,não,república,não,não,não,,32,5
Erika Ferreira,26,Ciência da Computação,2016,7,1.59,178,não,república,sim,sim,não,,58,5
Alice Gomes,18,Medicina,2016,10,7.47,73,não,república,não,sim,não,,47,3
Erika Gomes,24,Ciência da Computação,2015,5,1.92,80,sim,república,não,sim,sim,Empresa B,38,2
Daniel Ferreira,26,Engenharia,2017,8,3.31,25,não,apartamento,não,não,não,,44,2
Erika Silva,24,Arquitetura,2020,2,2.34,122,não,república,sim,sim,sim,Empresa E,10,1
Igor Almeida,19,Engenharia,2017,4,6.11,96,não,casa,não,não,não,,38,3
Gustavo Oliveira,28,Administração,2017,4,7.8,55,não,apartamento,não,não,não,,59,2
Igor Ferreira,20,Arquitetura,2018,3,4.64,161,não,casa,não,não,não,,30,2
Carla Pereira,27,Medicina,2019,9,9.74,181,não,casa,sim,não,não,,50,5
Julia Almeida,29,Psicologia,2015,6,5.27,61,sim,república,sim,não,não,,52,2
Igor Silva,28,Psicologia,2020,10,6.59,135,não,apartamento,não,não,não,,34,2
Fernanda Ribeiro,25,Engenharia,2015,6,4.19,50,não,apartamento,sim,não,não,,38,2
Carla Santos,25,Engenharia,2016,9,6.51,38,não,casa,sim,sim,sim,Empresa E,11,5
Erika Gomes,23,Ciência da Computação,2016,1,9.23,148,não,república,sim,não,sim,Empresa D,35,4
Daniel Costa,20,Engenharia,2017,1,2.89,4,não,moradia estudantil,sim,sim,não,,25,3
Erika Ferreira,21,Engenharia,2018,9,0.76,155,não,república,não,não,não,,30,3
Gustavo Ferreira,27,Arquitetura,2020,4,2.64,29,sim,moradia estudantil,não,sim,sim,Empresa E,19,3
Erika Almeida,29,Psicologia,2020,8,1.61,163,sim,república,sim,sim,não,,49,4
Daniel Silva,28,Arquitetura,2015,8,9.51,18,não,república,sim,sim,não,,34,5
Bruno Gomes,27,Administração,2016,4,8.36,98,não,apartamento,não,não,não,,40,2
Erika Costa,22,Ciência da Computação,2018,10,7.51,113,sim,moradia estudantil,não,não,não,,32,3
Julia Silva,22,Medicina,2019,10,4.39,170,não,casa,não,sim,sim,Empresa D,33,2
Helena Ribeiro,28,Medicina,2018,2,7.35,150,não,república,não,não,não,,10,1
Fernanda Ribeiro,30,Psicologia,2016,2,8.96,11,sim,república,não,não,sim,Empresa E,29,2
Gustavo Santos,20,Direito,2019,2,9.65,176,não,casa,não,não,sim,Empresa C,57,3
Igor Ferreira,24,Psicologia,2017,4,8.27,125,não,república,sim,não,não,,27,2
Alice Ribeiro,23,Arquitetura,2018,2,8.52,104,não,casa,não,sim,não,,18,1
Erika Oliveira,26,Engenharia,2017,7,6.24,18,não,república,não,não,não,,26,5
Fernanda Ribeiro,24,Psicologia,2017,6,0.75,129,não,moradia estudantil,não,sim,não,,40,5
Alice Gomes,20,Ciência da Computação,2017,8,8.22,65,não,república,não,não,não,,32,4
Gustavo Almeida,24,Direito,2019,9,3.37,77,não,moradia estudantil,sim,sim,sim,Empresa A,40,5
Carla Oliveira,20,Arquitetura,2020,4,1.59,39,não,moradia estudantil,sim,não,não,,24,5
Igor Silva,30,Psicologia,2019,8,3.58,44,não,casa,não,sim,não,,45,3
Helena Ferreira,24,Arquitetura,2019,6,4.64,52,não,moradia estudantil,sim,sim,não,,59,3
Gustavo Martins,26,Engenharia,2015,7,5.56,179,não,apartamento,sim,sim,sim,Empresa D,20,3
Erika Almeida,21,Direito,2017,3,3.38,30,não,moradia estudantil,não,não,não,,52,3
Bruno Oliveira,23,Administração,2019,3,8.91,181,não,moradia estudantil,sim,sim,sim,Empresa E,27,5
Helena Oliveira,27,Engenharia,2020,7,4.71,24,não,apartamento,sim,não,não,,33,3
Helena Ribeiro,23,Psicologia,2015,8,0.0,189,não,república,não,sim,não,,15,2
Bruno Pereira,22,Ciência da Computação,2017,3,8.19,2,não,apartamento,não,não,não,,11,1
Helena Almeida,28,Psicologia,2020,8,9.39,92,não,moradia estudantil,sim,não,não,,30,1
Bruno Oliveira,19,Arquitetura,2019,2,5.41,27,não,apartamento,sim,não,não,,15,1
Gustavo Pereira,26,Arquitetura,2015,4,3.73,3,não,apartamento,sim,não,sim,Empresa C,37,4
Gustavo Ribeiro,18,Direito,2020,3,2.84,70,não,república,não,não,não,,55,3
Daniel Costa,27,Administração,2017,3,5.2,63,não,moradia estudantil,não,não,não,,12,1
Julia Gomes,20,Ciência da Computação,2020,2,1.4,82,sim,república,não,não,não,,23,5
Erika Santos,26,Arquitetura,2015,5,8.83,137,sim,república,não,não,não,,46,5
Erika Oliveira,27,Psicologia,2015,4,9.16,76,não,república,não,não,não,,34,3
Alice Almeida,22,Engenharia,2016,1,7.6,71,não,apartamento,não,não,não,,24,3
Gustavo Pereira,23,Arquitetura,2015,3,3.24,167,sim,apartamento,não,não,sim,Empresa B,29,5
Fernanda Oliveira,18,Direito,2017,1,6.2,163,não,república,não,não,sim,Empresa B,47,4
Fernanda Costa,18,Ciência da Computação,2017,10,0.05,119,não,apartamento,sim,sim,não,,59,2
Igor Pereira,28,Psicologia,2020,4,9.66,52,não,moradia estudantil,não,sim,não,,48,2
Bruno Martins,18,Psicologia,2018,8,1.78,69,não,casa,não,não,não,,57,4
Helena Pereira,28,Medicina,2019,3,7.77,163,não,apartamento,não,não,sim,Empresa D,59,4
Julia Ribeiro,25,Psicologia,2015,7,8.98,177,sim,apartamento,não,não,não,,51,3
Julia Ferreira,18,Medicina,2016,6,3.55,46,sim,casa,não,não,não,,16,4
Igor Pereira,22,Medicina,2016,10,6.7,191,não,casa,não,não,não,,21,1
Bruno Ribeiro,29,Administração,2020,7,2.47,75,não,casa,sim,não,não,,50,1
Erika Costa,18,Ciência da Computação,2017,3,5.86,143,não,república,não,sim,não,,42,3
Gustavo Martins,23,Ciência da Computação,2018,7,2.08,139,sim,república,não,não,não,,56,2
Carla Silva,24,Medicina,2019,6,2.9,6,não,casa,não,sim,não,,36,2
Gustavo Santos,19,Direito,2017,8,6.24,122,não,casa,não,não,não,,56,3
Gustavo Pereira,22,Psicologia,2020,1,4.13,78,não,moradia estudantil,sim,não,não,,38,1
Carla Santos,24,Direito,2016,3,2.54,152,não,casa,sim,não,não,,24,1
Helena Ribeiro,24,Engenharia,2018,3,3.99,118,sim,república,sim,sim,não,,28,4
Helena Pereira,21,Engenharia,2018,3,5.94,172,não,república,não,não,não,,60,2
Daniel Gomes,19,Engenharia,2017,8,7.21,180,sim,moradia estudantil,não,não,não,,32,3
Carla Costa,30,Engenharia,2015,7,7.17,142,não,casa,não,sim,não,,27,1
Erika Oliveira,22,Psicologia,2020,4,0.4,99,não,moradia estudantil,sim,não,não,,18,5
Julia Ribeiro,27,Medicina,2018,9,8.69,148,não,república,não,não,sim,Empresa B,19,1
Alice Almeida,30,Arquitetura,2020,1,3.2,31,sim,apartamento,não,sim,não,,20,4
Fernanda Oliveira,25,Psicologia,2016,9,4.61,28,não,moradia estudantil,sim,sim,não,,54,3
Bruno Martins,18,Engenharia,2016,4,8.75,165,não,república,não,sim,sim,Empresa E,10,1
Bruno Ferreira,23,Administração,2018,7,5.23,11,sim,moradia estudantil,sim,não,não,,32,2
Daniel Ribeiro,25,Administração,2018,6,5.78,69,não,república,sim,sim,não,,47,1
Fernanda Ribeiro,20,Medicina,2017,3,0.44,66,não,moradia estudantil,não,não,não,,39,3
Erika Santos,22,Arquitetura,2015,7,6.08,80,não,república,não,sim,sim,Empresa E,54,1
Daniel Almeida,30,Arquitetura,2018,10,1.12,88,sim,moradia estudantil,não,sim,não,,31,1
Helena Costa,28,Arquitetura,2019,3,4.16,53,não,moradia estudantil,não,não,não,,43,3
Fernanda Ferreira,21,Psicologia,2020,4,4.02,100,não,moradia estudantil,não,não,não,,59,1
Helena Santos,28,Psicologia,2016,6,7.02,104,não,república,sim,não,não,,27,1
Erika Costa,18,Engenharia,2016,4,0.81,184,sim,casa,não,não,não,,16,4
Fernanda Ribeiro,29,Direito,2020,4,2.22,196,não,apartamento,não,não,não,,52,1
Fernanda Silva,18,Engenharia,2020,2,6.94,194,não,apartamento,sim,sim,não,,58,5
Daniel Oliveira,22,Psicologia,2015,7,9.94,45,não,moradia estudantil,sim,não,não,,55,3
Alice Ferreira,18,Ciência da Computação,2017,4,7.82,127,não,apartamento,não,não,não,,39,5
Alice Almeida,21,Engenharia,2015,8,8.93,24,não,moradia estudantil,não,não,sim,Empresa C,44,3
Alice Ferreira,25,Medicina,2019,4,5.24,100,não,apartamento,sim,não,não,,47,4
Helena Almeida,26,Psicologia,2019,3,6.98,137,sim,moradia estudantil,não,sim,não,,56,3
Julia Silva,22,Psicologia,2017,2,0.46,75,não,casa,sim,não,não,,12,4
Fernanda Martins,23,Administração,2016,9,0.22,53,não,casa,não,sim,não,,12,5
Daniel Martins,21,Direito,2020,10,9.83,111,não,moradia estudantil,não,não,não,,43,5
Carla Oliveira,25,Administração,2015,7,4.07,41,sim,casa,não,sim,não,,13,3
Carla Ferreira,22,Ciência da Computação,2015,3,4.72,58,não,apartamento,não,sim,não,,40,1
Gustavo Pereira,26,Medicina,2016,9,9.28,186,não,casa,sim,sim,sim,Empresa E,32,2
Bruno Ribeiro,28,Engenharia,2016,3,4.35,160,não,república,não,não,não,,30,3
Igor Santos,20,Direito,2015,4,8.05,19,não,moradia estudantil,não,não,não,,15,1
Bruno Almeida,23,Engenharia,2017,6,2.47,1,não,república,sim,não,não,,43,1
Julia Ribeiro,22,Psicologia,2020,6,3.48,146,não,casa,não,sim,sim,Empresa D,40,4
Igor Costa,23,Psicologia,2016,5,5.87,86,não,moradia estudantil,sim,não,sim,Empresa E,59,5
Bruno Santos,27,Ciência da Computação,2019,5,5.44,144,sim,república,não,não,não,,57,5
Carla Almeida,26,Administração,2017,2,8.61,24,não,casa,não,sim,não,,45,1
Bruno Ribeiro,24,Medicina,2016,5,4.85,42,não,república,não,não,não,,12,4
Gustavo Ferreira,25,Arquitetura,2018,5,6.74,104,não,república,não,não,sim,Empresa E,30,1
Julia Silva,22,Arquitetura,2017,10,9.85,124,não,república,sim,não,sim,Empresa D,50,1
Julia Santos,18,Arquitetura,2018,3,7.98,18,não,moradia estudantil,não,não,sim,Empresa D,47,4
Julia Costa,23,Direito,2015,7,4.22,167,não,apartamento,sim,não,sim,Empresa D,28,1
Igor Pereira,22,Ciência da Computação,2017,8,7.18,134,sim,apartamento,não,sim,sim,Empresa A,41,2
Erika Martins,24,Psicologia,2017,9,0.56,186,não,moradia estudantil,não,não,sim,Empresa A,48,3
Helena Martins,23,Medicina,2019,9,4.05,84,não,casa,sim,sim,não,,37,1
Fernanda Martins,25,Arquitetura,2016,9,9.41,96,não,casa,sim,sim,não,,59,4
Igor Silva,18,Ciência da Computação,2015,4,6.28,34,não,república,não,não,não,,52,3
Erika Oliveira,23,Arquitetura,2020,10,0.5,63,não,casa,sim,sim,não,,27,1
Helena Pereira,21,Ciência da Computação,2015,2,4.05,97,não,casa,não,sim,não,,28,1
Helena Gomes,18,Medicina,2019,9,1.83,62,não,apartamento,não,não,não,,37,2
Julia Martins,26,Administração,2019,9,8.43,73,sim,moradia estudantil,não,não,não,,34,5
Carla Gomes,28,Administração,2018,9,7.92,147,não,moradia estudantil,não,não,sim,Empresa A,22,4
Daniel Silva,25,Direito,2019,10,7.84,198,não,casa,não,não,não,,11,3
Daniel Almeida,26,Psicologia,2018,6,2.53,78,não,casa,não,sim,não,,13,3
Gustavo Ribeiro,22,Ciência da Computação,2020,10,4.76,190,não,casa,não,sim,não,,28,5
Alice Costa,25,Ciência da Computação,2020,8,8.8,132,não,apartamento,não,não,não,,25,4
Daniel Ribeiro,28,Ciência da Computação,2020,6,1.8,126,não,apartamento,não,não,não,,30,5
Daniel Costa,25,Engenharia,2018,2,0.86,7,sim,república,não,não,não,,50,5
Helena Oliveira,27,Medicina,2019,6,0.57,42,sim,moradia estudantil,não,não,sim,Empresa C,16,5
Gustavo Pereira,20,Direito,2016,1,1.25,137,não,república,não,não,sim,Empresa B,49,4
Alice Almeida,18,Administração,2016,7,1.28,171,não,moradia estudantil,sim,não,não,,42,3
Carla Pereira,22,Arquitetura,2015,3,2.24,138,não,apartamento,sim,não,não,,40,1
Gustavo Ferreira,23,Ciência da Computação,2019,7,1.5,50,sim,apartamento,sim,não,não,,27,3
Gustavo Ribeiro,28,Medicina,2016,10,1.26,126,não,moradia estudantil,não,não,sim,Empresa D,11,1
Alice Martins,26,Arquitetura,2017,8,8.11,68,não,casa,sim,sim,não,,21,5
Erika Ribeiro,25,Medicina,2016,2,7.34,114,não,apartamento,sim,não,não,,51,3
Helena Ferreira,23,Psicologia,2020,5,5.78,122,sim,república,não,não,não,,24,1
Daniel Pereira,25,Medicina,2017,4,0.14,5,não,apartamento,não,não,não,,20,5
Alice Silva,18,Ciência da Computação,2017,5,8.02,181,não,apartamento,não,não,não,,20,4
Daniel Almeida,18,Administração,2019,2,6.24,113,não,apartamento,não,não,sim,Empresa B,45,4
Bruno Ferreira,22,Ciência da Computação,2020,7,4.97,94,não,apartamento,não,não,não,,40,1
Gustavo Costa,19,Engenharia,2016,4,9.31,182,sim,apartamento,não,não,sim,Empresa D,22,4
Igor Oliveira,20,Direito,2018,7,3.53,119,não,casa,sim,não,não,,34,1
Daniel Almeida,20,Engenharia,2018,3,5.37,163,não,apartamento,não,não,sim,Empresa D,18,2
Igor Gomes,30,Engenharia,2019,1,9.64,35,não,apartamento,não,sim,sim,Empresa A,48,2
Gustavo Almeida,19,Arquitetura,2016,2,3.31,53,sim,república,sim,não,sim,Empresa D,19,3
Erika Santos,20,Medicina,2018,4,4.18,82,não,república,não,não,não,,38,5
Carla Ferreira,20,Medicina,2019,4,5.56,186,não,moradia estudantil,não,não,não,,51,1
Alice Santos,25,Arquitetura,2020,9,8.27,187,não,moradia estudantil,não,não,sim,Empresa E,12,1
Daniel Oliveira,26,Psicologia,2016,1,2.04,143,não,apartamento,sim,não,não,,17,1
Fernanda Santos,19,Arquitetura,2020,9,2.31,50,não,república,não,sim,não,,55,5
Gustavo Ribeiro,22,Administração,2020,3,2.9,110,sim,moradia estudantil,sim,não,sim,Empresa D,43,2
Gustavo Oliveira,28,Administração,2020,1,3.39,61,não,república,não,não,não,,55,1
Erika Almeida,21,Administração,2019,3,7.91,86,não,república,não,não,não,,52,3
Daniel Ribeiro,27,Direito,2020,3,0.79,17,não,apartamento,não,não,não,,42,1
Fernanda Almeida,24,Engenharia,2017,1,0.66,125,não,república,não,não,não,,29,3
Carla Pereira,30,Engenharia,2015,7,1.22,166,não,república,não,sim,não,,25,2
Julia Ferreira,22,Ciência da Computação,2020,9,5.91,61,não,república,não,não,sim,Empresa D,26,4
Bruno Costa,24,Engenharia,2016,5,4.07,14,não,moradia estudantil,não,não,não,,13,5
Carla Santos,29,Direito,2019,9,0.04,92,não,apartamento,não,sim,não,,38,3
Carla Almeida,24,Ciência da Computação,2018,3,3.01,141,não,apartamento,não,não,não,,57,3
Helena Ribeiro,19,Psicologia,2019,7,6.18,183,sim,república,não,não,não,,20,1
Gustavo Pereira,25,Psicologia,2015,4,3.67,163,não,casa,sim,sim,não,,42,2
Igor Silva,26,Arquitetura,2019,8,9.29,63,não,república,não,não,não,,28,5
Bruno Costa,27,Administração,2018,10,8.93,82,sim,moradia estudantil,não,não,não,,35,3
Daniel Costa,20,Engenharia,2016,1,6.17,68,não,moradia estudantil,não,não,não,,55,2
Fernanda Ribeiro,26,Ciência da Computação,2019,3,4.01,112,não,moradia estudantil,sim,não,não,,30,4
Julia Ferreira,19,Psicologia,2016,2,7.0,125,não,república,não,não,não,,16,5
Gustavo Ferreira,21,Administração,2020,10,8.83,26,não,moradia estudantil,não,sim,não,,19,5
Helena Almeida,18,Direito,2016,10,6.13,19,não,casa,não,não,não,,27,2
Fernanda Ribeiro,25,Administração,2017,1,9.07,130,não,apartamento,não,não,não,,59,3
Alice Ribeiro,24,Direito,2019,4,8.38,176,não,moradia estudantil,sim,não,não,,16,4
Helena Ferreira,27,Administração,2017,10,9.95,108,sim,moradia estudantil,não,não,sim,Empresa C,28,3
Julia Almeida,25,Administração,2018,7,5.26,100,sim,apartamento,não,não,não,,45,4
Julia Pereira,19,Ciência da Computação,2018,4,4.81,188,não,moradia estudantil,sim,não,não,,35,3
Alice Martins,22,Arquitetura,2019,9,8.97,77,não,casa,sim,não,não,,47,5
Daniel Ferreira,18,Ciência da Computação,2015,9,3.31,129,não,república,sim,não,sim,Empresa D,32,3
Helena Santos,23,Engenharia,2019,9,1.99,163,não,apartamento,não,não,não,,46,4
Gustavo Costa,30,Direito,2018,4,9.8,111,não,apartamento,não,sim,não,,50,2
Helena Almeida,27,Ciência da Computação,2018,6,3.8,23,não,apartamento,sim,sim,sim,Empresa A,26,3
Bruno Oliveira,21,Psicologia,2016,5,9.13,101,não,casa,não,não,não,,30,2
Gustavo Silva,23,Administração,2015,10,1.12,59,não,moradia estudantil,não,sim,não,,44,3
Alice Costa,27,Direito,2019,3,2.4,116,não,apartamento,não,não,sim,Empresa A,18,1
Fernanda Oliveira,21,Administração,2019,10,9.98,12,não,apartamento,sim,não,não,,46,1
Erika Silva,30,Ciência da Computação,2017,4,5.87,198,não,república,sim,não,não,,10,1
Gustavo Santos,25,Medicina,2019,6,8.38,166,não,república,sim,sim,não,,16,5
Fernanda Almeida,22,Ciência da Computação,2019,2,4.94,25,não,apartamento,não,não,não,,47,1
Julia Almeida,19,Administração,2020,5,9.11,164,não,apartamento,sim,não,não,,50,5
Julia Costa,24,Psicologia,2019,7,4.49,191,não,república,sim,não,não,,58,2
Julia Martins,26,Psicologia,2020,4,4.6,105,não,moradia estudantil,não,não,sim,Empresa E,53,5
Gustavo Ribeiro,27,Arquitetura,2018,4,1.72,161,não,república,não,não,não,,45,5
Julia Oliveira,26,Arquitetura,2016,3,8.54,13,sim,apartamento,não,sim,sim,Empresa E,58,4
Carla Santos,27,Engenharia,2016,7,1.24,141,não,moradia estudantil,não,sim,não,,53,1
Alice Santos,27,Engenharia,2016,10,5.27,97,não,casa,não,não,não,,25,4
Helena Silva,29,Psicologia,2017,2,6.47,176,não,apartamento,não,não,não,,46,1
Erika Ribeiro,27,Medicina,2018,5,7.39,50,não,moradia estudantil,não,sim,não,,33,5
Bruno Costa,19,Ciência da Computação,2017,5,6.69,194,não,moradia estudantil,não,não,sim,Empresa C,56,5
Helena Almeida,27,Medicina,2018,5,4.85,132,não,moradia estudantil,sim,sim,sim,Empresa C,52,5
Erika Almeida,24,Medicina,2020,6,0.35,65,não,apartamento,não,não,sim,Empresa E,22,3
Daniel Silva,21,Medicina,2019,3,0.4,100,não,casa,sim,não,não,,59,1
Alice Santos,24,Engenharia,2015,5,1.57,169,não,moradia estudantil,sim,não,não,,49,4
Igor Silva,28,Medicina,2016,9,9.09,111,não,moradia estudantil,não,não,sim,Empresa C,32,5
Gustavo Almeida,20,Medicina,2016,6,1.86,97,sim,casa,não,não,não,,20,3
Alice Silva,18,Direito,2016,4,3.55,13,não,moradia estudantil,não,não,não,,22,5
Igor Costa,25,Ciência da Computação,2015,10,6.95,153,sim,república,não,não,não,,20,3
Helena Martins,21,Ciência da Computação,2015,1,8.34,140,não,apartamento,não,sim,não,,19,3
Igor Almeida,29,Arquitetura,2015,2,6.65,10,não,apartamento,não,não,não,,13,4
Gustavo Ribeiro,29,Engenharia,2017,2,3.39,25,sim,moradia estudantil,não,não,sim,Empresa E,38,1
Erika Silva,18,Arquitetura,2017,10,2.42,75,não,apartamento,não,não,não,,16,5
Gustavo Santos,29,Psicologia,2015,2,7.5,143,não,moradia estudantil,não,sim,não,,51,4
Daniel Pereira,19,Medicina,2016,8,4.04,113,não,apartamento,sim,não,sim,Empresa A,11,5
Alice Ferreira,24,Ciência da Computação,2018,10,6.37,18,sim,apartamento,não,não,não,,38,1
Igor Oliveira,26,Arquitetura,2018,9,7.3,65,não,moradia estudantil,não,não,não,,31,5
Daniel Ribeiro,26,Administração,2019,10,5.37,195,não,república,não,não,não,,43,4
Daniel Costa,23,Administração,2018,2,1.06,110,não,moradia estudantil,não,não,não,,15,5
Erika Santos,18,Engenharia,2016,2,3.89,58,não,casa,não,não,não,,22,2
Julia Santos,19,Direito,2018,4,9.78,136,não,república,não,sim,não,,14,2
Fernanda Costa,25,Medicina,2017,9,4.91,145,não,apartamento,não,sim,sim,Empresa C,24,2
Daniel Gomes,18,Engenharia,2015,1,8.49,197,não,casa,não,não,sim,Empresa B,33,2
Julia Costa,29,Direito,2018,3,1.91,162,não,casa,não,sim,não,,56,3
Igor Costa,28,Arquitetura,2020,2,8.09,46,não,república,não,não,não,,26,1
Fernanda Almeida,18,Ciência da Computação,2019,7,8.25,157,não,casa,não,não,não,,17,3
Julia Martins,29,Administração,2017,3,9.81,124,sim,apartamento,não,não,não,,46,3
Daniel Ribeiro,29,Ciência da Computação,2017,1,4.06,19,não,apartamento,não,não,não,,32,3
Bruno Oliveira,23,Medicina,2018,8,5.02,130,não,moradia estudantil,não,sim,não,,17,5
Gustavo Gomes,24,Psicologia,2018,3,4.49,146,sim,casa,sim,não,não,,15,1
Gustavo Costa,25,Arquitetura,2018,8,1.82,72,não,república,não,sim,não,,58,3
